timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709043631490,162,GET Single User,200,OK,Workload Config 1-27,text,true,,1182,96,12,12,https://reqres.in/api/users/2,162,0,78
1709043631242,413,POST Register,201,Created,Workload Config 1-19,text,true,,904,204,12,12,https://reqres.in/api/users,413,0,0
1709043631541,133,GET Single User,200,OK,Workload Config 1-28,text,true,,1182,96,11,11,https://reqres.in/api/users/2,133,0,73
1709043631580,137,GET Single User,200,OK,Workload Config 1-29,text,true,,1182,96,12,12,https://reqres.in/api/users/2,137,0,87
1709043631296,427,POST Register,201,Created,Workload Config 1-20,text,true,,905,204,12,12,https://reqres.in/api/users,427,0,0
1709043631338,434,POST Register,201,Created,Workload Config 1-21,text,true,,905,204,12,12,https://reqres.in/api/users,434,0,0
1709043631632,175,GET Single User,200,OK,Workload Config 1-30,text,true,,1182,96,12,12,https://reqres.in/api/users/2,175,0,77
1709043631401,408,POST Register,201,Created,Workload Config 1-22,text,true,,905,204,12,12,https://reqres.in/api/users,408,0,0
1709043631695,136,GET Single User,200,OK,Workload Config 1-31,text,true,,1182,96,12,12,https://reqres.in/api/users/2,136,0,62
1709043631432,445,POST Register,201,Created,Workload Config 1-23,text,true,,905,204,12,12,https://reqres.in/api/users,445,0,0
1709043631730,151,GET Single User,200,OK,Workload Config 1-32,text,true,,1182,96,11,11,https://reqres.in/api/users/2,151,0,74
1709043631780,166,GET Single User,200,OK,Workload Config 1-33,text,true,,1182,96,13,13,https://reqres.in/api/users/2,166,0,84
1709043631530,434,POST Register,201,Created,Workload Config 1-24,text,true,,905,204,13,13,https://reqres.in/api/users,434,0,0
1709043631565,416,POST Register,201,Created,Workload Config 1-25,text,true,,905,204,12,12,https://reqres.in/api/users,416,0,0
1709043631589,410,POST Register,201,Created,Workload Config 1-26,text,true,,905,204,12,12,https://reqres.in/api/users,410,0,0
1709043631831,177,GET Single User,200,OK,Workload Config 1-34,text,true,,1182,96,11,11,https://reqres.in/api/users/2,177,0,85
